,open,close,high,low,volume,money
2016-04-20,5353.3,5333.87,5361.43,5174.87,4237015900.0,48740856760.0
2016-04-21,5285.28,5311.02,5376.66,5265.48,2605018700.0,33751286409.0
2016-04-22,5277.87,5342.78,5354.73,5274.31,1855825800.0,23444635676.0
2016-04-25,5317.02,5313.43,5339.48,5269.37,1762971400.0,21714121119.0
2016-04-26,5308.84,5339.61,5354.5,5295.58,1657874400.0,21358421355.0
2016-04-27,5345.75,5309.14,5347.16,5304.65,1498513500.0,19326641089.0
2016-04-28,5319.43,5309.43,5343.32,5279.29,1920394900.0,23717666372.0
2016-04-29,5289.59,5277.07,5307.86,5276.14,1500960800.0,17927239759.0
2016-05-03,5278.8,5332.89,5363.95,5264.65,2700083800.0,32992487680.0
2016-05-04,5316.26,5324.33,5337.51,5309.93,1751961200.0,21490822923.0
2016-05-05,5313.57,5323.35,5333.17,5301.89,1473761100.0,17630751487.0
2016-05-06,5325.56,5202.84,5327.8,5202.67,2503268400.0,30891379713.0
2016-05-09,5185.71,5119.81,5185.71,5099.7,2300445300.0,26116128951.0
2016-05-10,5091.5,5104.14,5135.41,5089.73,1541412500.0,17422027829.0
2016-05-11,5121.39,5109.55,5136.1,5092.28,1534589800.0,16996082631.0
2016-05-12,5082.62,5139.77,5149.07,5059.65,1654169900.0,19605343737.0
2016-05-13,5123.21,5121.15,5147.88,5110.26,1433702800.0,16102022135.0
2016-05-16,5100.68,5134.05,5140.14,5094.03,1182270000.0,13674235636.0
2016-05-17,5135.82,5124.58,5150.37,5100.27,1410816000.0,16811893066.0
2016-05-18,5103.74,5156.2,5163.36,5073.98,2390948100.0,27410569402.0
2016-05-19,5133.69,5132.2,5164.24,5123.26,1352445700.0,15797280689.0
2016-05-20,5115.09,5157.19,5157.97,5106.42,1451090100.0,16537830761.0
2016-05-23,5158.13,5149.74,5186.45,5139.09,1615978300.0,19184927164.0
2016-05-24,5142.49,5103.94,5142.68,5096.48,1287966800.0,13968688651.0
2016-05-25,5139.27,5125.15,5156.29,5119.15,1170916700.0,13625372903.0
2016-05-26,5119.48,5139.28,5154.3,5103.81,1336464300.0,14693846798.0
2016-05-27,5135.62,5133.73,5149.95,5120.81,1066025500.0,11424974521.0
2016-05-30,5138.84,5172.95,5178.1,5106.86,1525670700.0,15515649081.0
2016-05-31,5174.48,5365.38,5373.8,5174.48,4428787200.0,52169015805.0
2016-06-01,5369.21,5313.8,5385.92,5313.37,3162296800.0,39661267985.0
2016-06-02,5312.57,5314.74,5332.13,5292.82,2096854500.0,26454601476.0
2016-06-03,5333.03,5332.05,5355.24,5290.1,2524194500.0,31853389868.0
2016-06-06,5321.51,5291.18,5325.98,5279.81,1596725700.0,19291128618.0
2016-06-07,5305.12,5302.13,5321.7,5292.32,1725905800.0,20071419981.0
2016-06-08,5297.96,5288.24,5304.62,5264.53,1854347000.0,22519517149.0
2016-06-13,5236.16,5154.95,5268.51,5152.45,2148443100.0,25197195552.0
2016-06-14,5145.18,5190.38,5202.66,5139.72,1780954400.0,19855815117.0
2016-06-15,5128.83,5219.52,5253.7,5128.74,2178574600.0,25601603958.0
2016-06-16,5192.22,5187.1,5210.98,5180.58,1638408400.0,18525588169.0
2016-06-17,5187.49,5209.0,5249.81,5187.49,1761683800.0,20416283706.0
2016-06-20,5226.48,5218.68,5232.86,5190.12,1270439700.0,14677290781.0
2016-06-21,5235.46,5236.64,5327.76,5224.56,2566543900.0,32258051319.0
2016-06-22,5222.46,5276.51,5277.71,5217.07,1924745000.0,22115682164.0
2016-06-23,5270.32,5250.84,5270.32,5225.47,1684811600.0,18911717916.0
2016-06-24,5232.18,5174.84,5270.68,5108.86,2750416300.0,30719887026.0
2016-06-27,5159.57,5221.65,5221.88,5159.38,2218997300.0,25408155279.0
2016-06-28,5202.84,5253.34,5266.17,5188.97,2719674700.0,33485493389.0
2016-06-29,5259.77,5287.69,5291.42,5251.09,2848622000.0,33073329607.0
2016-06-30,5285.57,5281.65,5310.52,5275.56,2240000600.0,25509770686.0
2016-07-01,5292.68,5295.51,5312.76,5280.7,1884563100.0,21343369617.0
2016-07-04,5275.16,5384.74,5419.71,5270.9,3301765800.0,39826315964.0
2016-07-05,5375.35,5367.72,5384.52,5350.16,2262837600.0,25515273819.0
2016-07-06,5355.38,5349.82,5360.33,5324.44,2042184300.0,22262791882.0
2016-07-07,5337.49,5347.68,5364.08,5302.75,2362423100.0,26072132162.0
2016-07-08,5329.8,5315.6,5341.38,5310.16,2095676200.0,25503321787.0
2016-07-11,5319.45,5311.08,5365.49,5309.07,2603719400.0,31258629658.0
2016-07-12,5310.21,5411.34,5413.91,5306.34,3665900000.0,43492723458.0
2016-07-13,5394.8,5410.78,5489.91,5394.8,4107957900.0,47615823083.0
2016-07-14,5402.0,5406.48,5415.29,5380.31,2003678000.0,22806241067.0
2016-07-15,5405.47,5392.96,5414.62,5378.97,1954513100.0,22274533750.0
2016-07-18,5382.27,5383.51,5430.16,5372.31,2582677100.0,28024639058.0
2016-07-19,5391.14,5369.14,5406.3,5339.97,1840797500.0,20853521461.0
2016-07-20,5366.78,5340.33,5370.85,5336.33,1365592300.0,15240105159.0
2016-07-21,5341.62,5372.96,5396.13,5341.62,1871413800.0,22564808387.0
2016-07-22,5365.01,5327.97,5367.6,5320.78,1692998000.0,18639724373.0
2016-07-25,5322.5,5328.86,5347.52,5312.92,1410206600.0,14903009381.0
2016-07-26,5323.44,5374.02,5375.89,5323.12,1704558500.0,19610129435.0
2016-07-27,5373.72,5343.21,5376.3,5225.85,3271308700.0,37277548613.0
2016-07-28,5308.67,5282.41,5316.41,5267.85,1942933300.0,21975653703.0
2016-07-29,5284.29,5276.22,5295.48,5267.62,1792560000.0,18413061633.0
2016-08-01,5265.25,5272.17,5281.63,5241.01,1988437300.0,19843020940.0
2016-08-02,5269.8,5274.99,5280.96,5253.66,1366715600.0,14017072307.0
2016-08-03,5252.81,5258.85,5269.26,5245.43,1507594600.0,15117179765.0
2016-08-04,5259.37,5257.54,5261.52,5226.42,1750193600.0,17535564710.0
2016-08-05,5253.12,5279.46,5310.38,5241.54,1908085200.0,20675147367.0
2016-08-08,5274.59,5297.47,5298.23,5247.88,1495984300.0,15883974241.0
2016-08-09,5297.22,5324.81,5326.26,5292.7,1868107600.0,19868964787.0
2016-08-10,5324.93,5320.27,5344.56,5312.04,1697909900.0,19473023769.0
2016-08-11,5316.26,5361.41,5443.49,5316.06,3477291300.0,38169330459.0
2016-08-12,5357.52,5491.24,5492.89,5350.71,3861206200.0,41525050131.0
2016-08-15,5508.61,5682.68,5766.58,5499.78,7339509700.0,91802541955.0
2016-08-16,5687.4,5592.23,5701.4,5570.17,6547027000.0,70366170799.0
2016-08-17,5605.43,5577.88,5642.88,5553.35,3852049000.0,45697410515.0
2016-08-18,5569.74,5555.14,5617.79,5529.47,3454780600.0,41409755170.0
2016-08-19,5550.25,5558.09,5569.8,5528.27,2623538400.0,28579723893.0
2016-08-22,5553.14,5519.45,5562.58,5507.26,2779102500.0,28812123536.0
2016-08-23,5516.0,5542.81,5576.31,5515.76,2337873800.0,24775409677.0
2016-08-24,5540.62,5509.32,5545.48,5498.65,1838608800.0,20245491711.0
2016-08-25,5491.23,5506.99,5516.77,5459.27,2649763500.0,27544156606.0
2016-08-26,5507.83,5495.16,5526.29,5487.07,1732198700.0,18406548189.0
2016-08-29,5486.11,5484.04,5490.44,5456.72,1716084900.0,17163381815.0
2016-08-30,5487.55,5516.3,5531.77,5486.64,2022647900.0,22190603870.0
2016-08-31,5508.74,5541.19,5559.21,5500.7,1852227500.0,21490723523.0
2016-09-01,5536.44,5510.01,5547.39,5507.1,1956293300.0,21673707324.0
2016-09-02,5496.29,5537.49,5544.24,5495.72,2240113300.0,23822715802.0
2016-09-05,5537.74,5540.25,5575.63,5528.24,2144496800.0,22002955024.0
2016-09-06,5533.95,5542.6,5571.63,5504.09,2506072700.0,25992634403.0
2016-09-07,5544.98,5548.02,5578.17,5535.53,2069272500.0,23354986743.0
2016-09-08,5543.45,5548.42,5558.53,5534.31,1493541100.0,15828295903.0
2016-09-09,5547.23,5526.98,5560.85,5526.33,1643002600.0,19034583606.0
2016-09-12,5454.62,5439.61,5457.15,5391.29,3048260300.0,33521714477.0
2016-09-13,5437.46,5421.44,5441.37,5403.15,1473867600.0,15690145945.0
2016-09-14,5399.59,5371.59,5408.63,5363.09,1605936400.0,16384410112.0
2016-09-19,5377.26,5409.43,5413.05,5377.26,1320918000.0,13202105591.0
2016-09-20,5409.99,5401.33,5411.47,5390.65,1101626900.0,11189342840.0
2016-09-21,5402.13,5419.05,5435.85,5394.42,1501911700.0,15911328097.0
2016-09-22,5442.75,5448.22,5476.6,5431.68,1564743200.0,17187199875.0
